CustomerID;Name;Email;PhoneNumber;PurchaseAmount;PurchaseDate;BookTitle
1;Shane Clarke;williamscynthia@example.com;(551)626-0650x4340;276.66;07/07/2023;Church seem
2;Scott Long;;(527)838-9348x8646;359.02;2/13/2023;Everything
3;Reginald Willis;marshalllinda@example.com;001-801-543-5601x151;303.37;11/12/2023;Weight dinner since
4;Erika Cooper;fishercalvin@example.com;932-654-7267;274.72;10/05/2023;Light professional
5;Linda Day;collin73@example.net;5.068.807.120;214.71;12/31/2023;Decide
6;Morgan Powell;awall@example.org;826-869-5515x4582;324.72;1/13/2023;Them order
7;James Cook;ryan98@example.org;(801)887-6282x92657;221.61;04/09/2023;School spend interesting
8;Stacy Pittman;scottnatalie@example.com;-4897;446.43;5/14/2023;Wife Happiness
9;Malik Hall;wchase@example.net;+1-463-277-4142x5191;482.01;10/04/2023;View yet
10;David Moore;;(866)496-2822;194.8;05/05/2023;Find our
11;Sheila Smith;ohoward@example.com;+1-831-255-0583x0138;396.9;06/09/2023;Child might
12;Jonathan Nelson;andrewanderson@example.org;872.685.8230x526;266.8;12/21/2023;Song often
13;Rachel Santos;kimberly29@example.com;2174312242;286.18;10/07/2023;Foot type history
14;John Ramirez;amy97@example.org;+1-966-205-4396x60006;463.17;1/20/2023;Speak deep
15;Jeffrey Krueger;monica49@example.net;922-545-4787x3286;40.16;3/27/2023;Customer million
16;Jessica Brooks;dennis59@example.org;(483)765-8204x3432;48.13;10/31/2023;Campaign still
17;Christy Walker;steven57@example.net;;15.01;9/20/2023;Morning leg whom
18;Stephanie Conley;melissaschultz@example.org;3554115513;417.15;03/10/2023;Hour claim painting
19;Paul Lee;;(931)699-3374x833;390.19;7/21/2023;Treat statement
20;William Ross;sandranorman@example.net;001-735-972-0034x5841;435.66;1/25/2023;Off traditional recognize
21;Kevin Sutton;wbolton@example.net;328.871.0746x47344;489.42;08/07/2023;Tv ability
22;Kelli Williams;hthompson@example.org;899.769.7156x02216;400.58;9/30/2023;Address
23;Harold Brooks;gabriel56@example.com;6598062665;233.43;8/15/2023;Black increase seek
24;Kevin Burch;jason66@example.com;739-595-0917x557;391.36;5/31/2023;Right into
25;Brandon Thompson;ekelly@example.net;;63.55;05/06/2023;Born argue
26;Charles Cohen;lbullock@example.net;(553)936-0088;321.76;1/29/2023;A work
27;Matthew Manning;martineztaylor@example.org;(887)660-1182;75.96;10/12/2023;Lawyer deal family
28;Dylan Brown;charles37@example.org;001-209-435-5752;472.61;4/24/2023;Point design
29;Edward Carter;morrisanna@example.com;566.496.6123x390;263.31;12/24/2023;Special determine enjoy
